11367,"O'HALLORAN HILL DC","O'HALLORAN HILL DC 5158 SA",18,NULL,NULL,NULL,NULL,0,"o-halloran-hill-dc-5158","5158"
11570,"INVERBRACKIE","INVERBRACKIE 5244 SA",18,NULL,NULL,NULL,NULL,0,"inverbrackie-5244","5244"
11576,"WOODHOUSE","WOODHOUSE 5246 SA",18,NULL,NULL,NULL,NULL,0,"woodhouse-5246","5246"
12498,"PANEY","PANEY 5652 SA",18,NULL,NULL,NULL,NULL,0,"paney-5652","5652"
12583,"COOK","COOK 5701 SA",18,NULL,NULL,NULL,NULL,0,"cook-5701","5701"
12613,"CITY DELIVERY CENTRE","CITY DELIVERY CENTRE 6000 WA",19,NULL,NULL,NULL,NULL,0,"city-delivery-centre-6000","6000"
14335,"PERTH","PERTH 6800 WA",19,NULL,NULL,NULL,NULL,0,"perth-6800","6800"
14336,"NORTHBRIDGE","NORTHBRIDGE 6803 WA",19,NULL,NULL,NULL,NULL,0,"northbridge-6803","6803"
14340,"TUART HILL","TUART HILL 6937 WA",19,NULL,NULL,NULL,NULL,0,"tuart-hill-6937","6937"
14341,"TUART HILL","TUART HILL 6938 WA",19,NULL,NULL,NULL,NULL,0,"tuart-hill-6938","6938"
14342,"TUART HILL","TUART HILL 6940 WA",19,NULL,NULL,NULL,NULL,0,"tuart-hill-6940","6940"
14344,"CANNINGTON","CANNINGTON 6980 WA",19,NULL,NULL,NULL,NULL,0,"cannington-6980","6980"
14355,"LOWER SANDY BAY","LOWER SANDY BAY 7006 TAS",24,NULL,NULL,NULL,NULL,0,"lower-sandy-bay-7006","7006"
14596,"HEARD ISLAND","HEARD ISLAND 7151 TAS",24,NULL,NULL,NULL,NULL,0,"heard-island-7151","7151"
14598,"MCDONALD ISLANDS","MCDONALD ISLANDS 7151 TAS",24,NULL,NULL,NULL,NULL,0,"mcdonald-islands-7151","7151"
15104,"HOBART","HOBART 7808 TAS",24,NULL,NULL,NULL,NULL,0,"hobart-7808","7808"
15105,"HOBART","HOBART 7809 TAS",24,NULL,NULL,NULL,NULL,0,"hobart-7809","7809"
15106,"LAUNCESTON","LAUNCESTON 7908 TAS",24,NULL,NULL,NULL,NULL,0,"launceston-7908","7908"
15107,"CAMBERWELL","CAMBERWELL 8627 VIC",23,NULL,NULL,NULL,NULL,0,"camberwell-8627","8627"
