104,MILYAKBURRA,MILYAKBURRA 0822 NT,17,,,,,0,milyakburra-0822,0822
105,MINJILANG,MINJILANG 0822 NT,17,,,,,0,minjilang-0822,0822
106,MOUNT BUNDEY,MOUNT BUNDEY 0822 NT,17,,,,,0,mount-bundey-0822,0822
107,MURRUMUJUK,MURRUMUJUK 0822 NT,17,,,,,0,murrumujuk-0822,0822
108,NAUIYU,NAUIYU 0822 NT,17,,,,,0,nauiyu-0822,0822
109,NEMARLUK,NEMARLUK 0822 NT,17,,,,,0,nemarluk-0822,0822
110,NGANMARRIYANGA,NGANMARRIYANGA 0822 NT,17,,,,,0,nganmarriyanga-0822,0822
111,NUMBULWAR,NUMBULWAR 0822 NT,17,,,,,0,numbulwar-0822,0822
112,NUMBURINDI,NUMBURINDI 0822 NT,17,,,,,0,numburindi-0822,0822
113,OENPELLI,OENPELLI 0822 NT,17,,,,,0,oenpelli-0822,0822
114,PEPPIMENARTI,PEPPIMENARTI 0822 NT,17,,,,,0,peppimenarti-0822,0822
115,PIRLANGIMPI,PIRLANGIMPI 0822 NT,17,,,,,0,pirlangimpi-0822,0822
116,POINT STEPHENS,POINT STEPHENS 0822 NT,17,,,,,0,point-stephens-0822,0822
127,TIPPERARY,TIPPERARY 0822 NT,17,,,,,0,tipperary-0822,0822
128,TIVENDALE,TIVENDALE 0822 NT,17,,,,,0,tivendale-0822,0822
129,TIWI ISLANDS,TIWI ISLANDS 0822 NT,17,,,,,0,tiwi-islands-0822,0822
130,TORTILLA FLATS,TORTILLA FLATS 0822 NT,17,,,,,0,tortilla-flats-0822,0822
131,TUMBLING WATERS,TUMBLING WATERS 0822 NT,17,,,,,0,tumbling-waters-0822,0822
132,UMBAKUMBA,UMBAKUMBA 0822 NT,17,,,,,0,umbakumba-0822,0822
133,VERNON ISLANDS,VERNON ISLANDS 0822 NT,17,,,,,0,vernon-islands-0822,0822
134,WADEYE,WADEYE 0822 NT,17,,,,,0,wadeye-0822,0822
135,WAGAIT BEACH,WAGAIT BEACH 0822 NT,17,,,,,0,wagait-beach-0822,0822
136,WAK WAK,WAK WAK 0822 NT,17,,,,,0,wak-wak-0822,0822
137,WARRUWI,WARRUWI 0822 NT,17,,,,,0,warruwi-0822,0822
138,WEDDELL,WEDDELL 0822 NT,17,,,,,0,weddell-0822,0822
139,WEST ARNHEM,WEST ARNHEM 0822 NT,17,,,,,0,west-arnhem-0822,0822
140,WICKHAM,WICKHAM 0822 NT,17,,,,,0,wickham-0822,0822
141,WISHART,WISHART 0822 NT,17,,,,,0,wishart-0822,0822
142,WOOLANING,WOOLANING 0822 NT,17,,,,,0,woolaning-0822,0822
143,WURRUMIYANGA,WURRUMIYANGA 0822 NT,17,,,,,0,wurrumiyanga-0822,0822
144,BERRIMAH,BERRIMAH 0828 NT,17,,,,,0,berrimah-0828,0828
155,PALMERSTON,PALMERSTON 0830 NT,17,,,,,0,palmerston-0830,0830
156,SHOAL BAY,SHOAL BAY 0830 NT,17,,,,,0,shoal-bay-0830,0830
157,WOODROFFE,WOODROFFE 0830 NT,17,,,,,0,woodroffe-0830,0830
158,YARRAWONGA,YARRAWONGA 0830 NT,17,,,,,0,yarrawonga-0830,0830
159,BAKEWELL,BAKEWELL 0832 NT,17,,,,,0,bakewell-0832,0832
160,BELLAMACK,BELLAMACK 0832 NT,17,,,,,0,bellamack-0832,0832
161,GUNN,GUNN 0832 NT,17,,,,,0,gunn-0832,0832
162,JOHNSTON,JOHNSTON 0832 NT,17,,,,,0,johnston-0832,0832
163,MITCHELL,MITCHELL 0832 NT,17,,,,,0,mitchell-0832,0832
