GIRRAWEEN 0836 NT,-12.524085,131.092505
HERBERT 0836 NT,-12.542319,131.157189
HUMPTY DOO 0836 NT,-12.575278,131.102222
MANTON 0837 NT,-12.8316015,131.1604226
NOONAMAH 0837 NT,-12.634167,131.073611
BERRY SPRINGS 0838 NT,-12.700833,131.014167
DUNDEE BEACH 0840 NT,-12.7575418,130.3928484
COOLALINGA 0839 NT,-12.5188645,131.0406631
DUNDEE DOWNS 0840 NT,-12.7669665,130.5025384
DUNDEE FOREST 0840 NT,-12.8042078,130.4484499
KATHERINE 0851 NT,-14.4652567,132.2646136
ARNOLD 0852 NT,-16.4713263,134.2867554
BAINES 0852 NT,-15.9785061,129.0033489
BARUNGA 0852 NT,-14.520833,132.865
BESWICK 0852 NT,-14.5582999,133.1141375
BESWICK CREEK 0852 NT,-14.5642635,133.072455
BINJARI 0852 NT,-14.5501071,132.1841676
BIRDUM 0852 NT,-15.6817503,133.303637
BRADSHAW 0852 NT,-15.3589003,131.2663976
BUCHANAN 0852 NT,-17.1074068,129.0448185
BULMAN WEEMOL 0852 NT,-13.653937,134.3150452
CRESWELL 0852 NT,-17.9462568,135.4716606
DAGURAGU 0852 NT,-17.4192675,130.8021088
DALY WATERS 0852 NT,-16.253333,133.369167
DELAMERE 0852 NT,-15.6847671,131.6719394
EDITH 0852 NT,-14.2856756,131.9978613
ELSEY 0852 NT,-14.9976999,133.4567841
FLORINA 0852 NT,-14.5769649,132.0282181
FLYING FOX 0852 NT,-13.6636318,134.3486782
GREGORY 0852 NT,-15.7371952,130.5031402
MATARANKA 0852 NT,-14.923397,133.0663796
MCARTHUR 0852 NT,-16.6249907,135.7996544
MINIYERI 0852 NT,-15.2254373,134.0797815
NGUKURR 0852 NT,-14.7327677,134.7323319
NITMILUK 0852 NT,-14.0753098,131.9830233
PELLEW ISLANDS 0852 NT,-15.6608229,136.8141777
PIGEON HOLE 0852 NT,-16.7872164,131.2143582
ROBINSON RIVER 0852 NT,-16.7585281,136.9827659
STURT PLATEAU 0852 NT,-15.6591124,132.6118455
TANAMI EAST 0852 NT,-16.7552218,132.5713639
